description,num_of_ratings,rating,price_after_discount,price_before_discount,is_bestseller,product_category,discount
"HUAWEI Band 9 Smart Watch, Ultra-Thin Design And Comfortable Wearing, Scientific Sleep Analysis, Durable Battery Life, IOS And Android Starry Black",5400,4.7,1595,2888,No,smart watch,45%
Oraimo Watch 4 Plus Bluetooth Call Smart Watch 2.01inch HD Display Fitness Tracker with Heart Rate Sleep Monitor Pedometer IP68 Waterproof Black,1800,4.3,1299,2400,Yes,smart watch,46%
إيميلاب ساعة ذكية Imilab W02-BK - سوداء,1,5,2110,2374,No,smart watch,11%
"ادهوماكس ساعة ذكية X10 الترا 3 بشاشة منحنية بتقنية الاتصال قريب المدى من ادهوماكس، تصميم انيق 49 ملم، متتبع اللياقة البدنية، شحن لاسلكي، تطبيق ويرفيت برو للجوال في متجر اي او اس واندرويد للرجال والنساء",10,4.1,869,900,No,smart watch,3%
Oraimo Watch 2R OSW-30 Smart Watch With  Silicone Strap Black,294,4.2,1199,1199,No,smart watch,0%
"HUAWEI Band 9 Smart Watch, Ultra-Thin Design And Comfortable Wearing, Scientific Sleep Analysis, Durable Battery Life, IOS And Android Charm Pink",5400,4.7,1666,2888,No,smart watch,42%
في & حول ساعه ذكيه X9 ULTRA 2 الاصدار التاسع شاشه 2.2 بوصه سوبر اموليد - بلوتوث - NFC  - جوجل ماب - شات GPT - شاحن لاسلكى,245,3.3,899,1999,No,smart watch,55%
"HUAWEI Band 9 Smart Watch, Ultra-Thin Design And Comfortable Wearing, Scientific Sleep Analysis, Durable Battery Life, IOS And Android White",5400,4.7,1754,2888,No,smart watch,39%
Wearfit Pro HK9 ULTRA 2 Series 9 Wearfit Pro (2024) SmartWatch 2.12 Inch SUPER AMOLED Display 480X320 Open AI Chat GPT GPS NFC Bluetooth V5 Call Wireless Charger,272,4,949,2999,No,smart watch,68%
"Infinix Infinix XW1 Smart Watch 1, Water Resistant, Screen Touch, 7-Day Battery, Bluetooth Call, Health Workout, Heart rate, Blood oxygen, Sleep breath Tracking, Silver",91,4.4,1250,1349,No,smart watch,7%
Apple Watch Series 9 GPS 45mm Midnight Aluminium Case With Midnight Sport Band,6500,4.5,18743,18743,No,smart watch,0%
"HUAWEI Watch Fit 3 Smartwatch, 1.82 Inch Amoled Display, Comfortable And Stylish Design, Scientific Workout Coach, Upgraded Health Management, Compatible With iOS And Android Green",5400,4.6,4999,7399,No,smart watch,32%
Samsung Galaxy Watch 6 Classic 47 Mm GPS Smartwatch Graphite/Black,1400,4.4,8777,22666,No,smart watch,61%
"Amazfit Pop 3s Ultra-large 1.96"" HD AMOLED Display,Fashionable Curved & Metallic Design With Bluetooth Phone Calls Black",213,4.3,2050,2350,No,smart watch,13%
